Journal Title,Rating,Publisher,ISSN,ISSN Online,FoR,Year Inception
Psychological Science,B,Sage Publications,0956-7976,1467-9280,3507,1990
Psychology & Marketing,B,Wiley-Blackwell Publishing,0742-6046,1520-6793,3506,1984
Psychology of Women Quarterly,B,Sage Publications,0361-6843,1471-6402,3507,1976
Public Administration and Development,B,Wiley-Blackwell Publishing,0271-2075,1099-162X,3599,1949
Public Administration Quarterly,B,Southern Public Administration Education Foundation Inc,0734-9149,2327-4433,3599,1977
Public Administration Review,B,Wiley-Blackwell Publishing,0033-3352,1540-6210,3599,1940
Public Administration: an international journal,B,Wiley-Blackwell Publishing,0033-3298,1467-9299,3599,1922
Public Budgeting & Finance,B,Wiley-Blackwell Publishing,0275-1100,1540-5850,3801,1981
Public Choice,B,Springer International Publishing,0048-5829,1573-7101,3801,1968
Public Finance Analysis / FinanzArchiv,B,Mohr Siebeck Verlag,0015-2218,1614-0974,3502,1884
Public Finance and Management,B,Southern Public Administration Education Foundation Inc.,1523-9721,,3502,2001
Public Finance Review,B,Sage Publications,1091-1421,1552-7530,3801,1973
Public Law: the constitutional and administrative law of the Commonwealth,B,Sweet & Maxwell,0033-3565,,4801,1956
Public Management Review,B,Taylor & Francis Online,1471-9037,1471-9045,3507,1999
Public Money & Management,B,Taylor & Francis Online,0954-0962,1467-9302,3507,1981
Public Opinion Quarterly,B,Oxford University Press,0033-362X,1537-5331,3599,1937
Public Performance & Management Review,B,Taylor & Francis Online,1530-9576,1557-9271,3507,1975
Public Personnel Management,B,Sage Publications,0091-0260,1945-7421,3507,1972
Public Policy and Administration,B,Sage Publications,0952-0767,1749-4192,3599,1986
Public Policy Research,B,Wiley-Blackwell Publishing,1744-5396,,3899,
Public Relations Inquiry,B,Sage Publications,2046-147X,2046-1488,3506,2012
Public Relations Review,B,Elsevier,0363-8111,1873-4537,3506,1975
Publishing Research Quarterly,B,Springer International Publishing,1053-8801,1936-4792,3599,1985
Qualitative Market Research: an international journal,B,Emerald Group Publishing,1352-2752,1758-7646,3506,1998
Qualitative Research in Accounting and Management,B,Emerald Group Publishing,1176-6093,1758-7654,3501,2004
Qualitative Research in Financial Markets,B,Emerald Group Publishing,1755-4179,1755-4187,3502,2009
Qualitative Research in Organizations and Management,B,Emerald Group Publishing,1746-5648,1746-5656,3507,2006
Quality & Quantity,B,Springer International Publishing,0033-5177,1573-7845,3599,1967
Quality Management Journal,B,Taylor & Francis Online,1068-6967,2575-6222,3509,1993
Quality of Life Research,B,Springer International Publishing,0962-9343,1573-2649,3599,1992
Quantitative Economics,B,Wiley-Blackwell Publishing,1759-7323,1759-7331,3802,2010
Quantitative Finance,B,Taylor & Francis Online,1469-7688,1469-7696,3502,2001
Quantitative Marketing and Economics,B,Springer International Publishing,1570-7156,1573-711X,3506,2003
Quarterly Journal of Experimental Psychology,B,Taylor & Francis Online,1747-0218,1747-0226,3507,1948
Quarterly Journal of Finance,B,World Scientific Publishing,2010-1392,2010-1406,3502,
Quarterly Journal of Finance and Accounting,B,Creighton University,0747-5535,,3501,1962
Quarterly Journal of Political Science,B,Now Publishers,1554-0626,1554-0634,3599,2006
Quarterly Review of Economics and Finance,B,Elsevier,1062-9769,1878-4259,3801,1993
Queensland Review,B,Cambridge University Press,1321-8166,,3599,1994
Quest,B,Taylor & Francis Online,0033-6297,1543-2750,3504,1963
QUT Law Review,B,Queensland University of Technology,1445-6230,1445-6249,4801,1985
R&D Management,B,Wiley-Blackwell Publishing,0033-6807,1467-9310,3507,1970
RAND Journal of Economics,B,Wiley-Blackwell Publishing,0741-6261,1756-2171,3801,1970
Rationality and Society,B,Sage Publications,1043-4631,1461-7358,3599,
Reading in Political Economy,B,,0305-814X,0079-9874,3801,1967
Real Estate Economics,B,Wiley-Blackwell Publishing,1080-8620,1540-6229,3502,1973
Real Estate Law Journal,B,"Warren, Gorham & Lamont",0048-6868,,4801,1972
Real Estate Taxation,B,Thomson Reuters,1538-3792,,4801,1973
"Real Property, Trust and Estate Law Journal",B,American Bar Association,0034-0855,1540-8469,4801,1966
Recherches Economiques de Louvain,B,De Boeck Superior,0770-4518,1782-1495,3801,1929
Records Management Journal,B,Emerald Group Publishing,0956-5698,,4609,1989
Reflets et Perspectives de la Vie Economique,B,De Boeck Superior,0034-2971,1782-1509,3801,1961
Regional Science and Urban Economics,B,Elsevier,0166-0462,1879-2308,3801,1971
Regional Studies,B,Taylor & Francis Online,0034-3404,1360-0591,3599,1967
"Regional Studies, Regional Science",B,Taylor & Francis Online,,2168-1376,3599,2014
Regulation and Governance,B,Wiley-Blackwell Publishing,,1748-5991,4801,2007
Relations Industrielles/Industrial Relations,B,"Industrial Relations Department, Universite Laval",0034-379X,1703-8138,3505,1945
Reliability Engineering & System Safety,B,Elsevier,0951-8320,1879-0836,3505,1980
Research Evaluation,B,Oxford University Press,0958-2029,1471-5449,3507,1991
Research in Accounting in Emerging Economies,B,Emerald Group Publishing,1479-3563,,3501,2003
Research in Accounting Regulation,B,Elsevier,1052-0457,,3501,1987
Research in Consumer Behavior: a research annual,B,Emerald Group Publishing,0885-2111,,3506,1985
Research in Economics,B,Elsevier,1090-9443,1090-9451,3801,1947
Research in Experimental Economics,B,Emerald Group Publishing,0193-2306,1875-7537,3801,1993
Research in Finance,B,Elsevier,0196-3821,0882-3138,3502,1983
Research in Financial Services,B,Elsevier,1052-7788,,3502,1989
Research in Governmental and Non-Profit Accounting,B,Elsevier,0884-0741,,3501,1985
Research in International Business and Finance,B,Elsevier,0275-5319,1878-3384,3502,1987
Research in Organizational Behavior,B,Elsevier,0191-3085,,3507,1979
Research in the History of Economic Thought and Methodology,B,Emerald Group Publishing,0743-4154,,3801,1983
Research in the Sociology of Organizations,B,Emerald Group Publishing,0733-558X,,3507,1982
Research in Transportation Business & Management,B,Elsevier,2210-5395,,3509,2011
Research in Transportation Economics,B,Elsevier,0739-8859,1875-7979,3509,1994
Research on Professional Responsibility and Ethics in Accounting,B,Emerald Group Publishing,1574-0765,,3501,1995
Research Policy,B,Elsevier,0048-7333,1873-7625,3507,1971
Research-Technology Management,B,Taylor & Francis Online,0895-6308,1930-0166,3507,1958
Resource and Energy Economics,B,Elsevier,0928-7655,,3801,1978
Resources Policy,B,Elsevier,0301-4207,1873-7641,3801,1974
Restitution Law Review,B,Marenex Press,1351-170X,,4801,1993
Rethinking Marxism,B,Taylor & Francis Online,0893-5696,1475-8059,3899,1988
Revenue Law Journal,B,Bond Faculty of Law Review Editorial Committee,1034-7747,2202-4859,4801,1990
Review of Accounting and Finance,B,Emerald Group Publishing,1475-7702,1758-7700,3501,2002
Review of Accounting Studies,B,Springer International Publishing,1380-6653,1573-7136,3501,1996
Review of African Political Economy,B,Taylor & Francis Online,0305-6244,1740-1720,3801,1974
Review of Asset Pricing Studies,B,Oxford University Press,2045-9920,2045-9939,3502,2011
Review of Behavioral Economics,B,Now Publishers,2326-6198,2326-6201,3801,2014
Review of Behavioral Finance,B,Emerald Group Publishing Limited,1940-5979,1940-5987,3502,2009
Review of Business Information Systems,B,The Clute Institute,,2157-9547‎,4609,1997
Review of Corporate Finance Studies,B,Oxford University Press,2046-9128,2046-9136,3502,2012
Review of Derivatives Research,B,Springer International Publishing,1380-6645,1573-7144,3502,1996
Review of Development Economics,B,Wiley-Blackwell Publishing,1363-6669,1467-9361,3801,1997
Review of Economic Analysis,B,Rimini Centre for Economic Analysis,1973-3909,,3801,2009
Review of Economic and Business Studies,B,Sciendo,1843-763X,2068-7249,3801,2008
Review of Economic Design,B,Springer International Publishing,1434-4742,1434-4750,3801,1994
Review of Economic Dynamics,B,Elsevier,1094-2025,1096-6099,3801,1998
Review of Economics (Jahrbuch fur Wirtschaftswissenschaften),B,De Gruyter,,2366-035X,3801,1950
Review of Economics of the Household,B,Springer International Publishing,1569-5239,1573-7152,3801,2003
Review of Environmental Economics and Policy,B,Oxford University Press,1750-6816,1750-6824,3801,2007
Review of Finance,B,Oxford University Press,1572-3097,1573-692X,3502,2004
Review of Financial Economics,B,Wiley-Blackwell Publishing,1058-3300,1873-5924,3502,1972
Review of Futures Markets,B,"Kent State University, Ohio",1933-7116,,3502,
Review of Income and Wealth,B,Wiley-Blackwell Publishing,,1475-4991,3801,1966
Review of Industrial Organization,B,Springer International Publishing,0889-938X,1573-7160,3801,1984
Review of International Business and Strategy,B,Emerald Group Publishing,2059-6014,,3507,1991
Review of International Economics,B,Wiley-Blackwell Publishing,0965-7576,1467-9396,3801,1992
Review of International Organizations,B,Springer International Publishing,1559-7431,1559-744X,3507,2006
Review of International Political Economy,B,Taylor & Francis Online,0969-2290,1466-4526,3801,1994
Review of International Studies,B,Cambridge University Press,0260-2105,1469-9044,3599,1975
Review of Islamic Economics,B,International Association of Islamic Economics and the Islamic Foundation,0962-2055,,3801,1991
Review of Keynesian Economics,B,Edward Elgar Publishing,2049-5323,2049-5331,3801,2012
Review of Law & Economics,B,De Gruyter,2194-6000,1555-5879,3801,2005
Review of Marketing and Agricultural Economics,B,Australian Agricultural Economics Society,0034-6616,0034-3409,3899,1933
Review of Marketing Science,B,De Gruyter,2194-5985,1546-5616,3506,2003
Review of Middle East Economics and Finance,B,De Gruyter,1475-3685,1475-3693,3801,2003
Review of Pacific Basin Financial Markets and Policies,B,World Scientific Publishing,0219-0915,1793-6705,3502,1998
Review of Political Economy,B,Taylor & Francis Online,0953-8259,1465-3982,3801,1989
Review of Public Personnel Administration,B,Sage Publications,0734-371X,1552-759X,3505,1980
Review of Quantitative Finance and Accounting,B,Springer International Publishing,0924-865X,1573-7179,3502,1991
Review of Radical Political Economics,B,Sage Publications,0486-6134,1552-8502,3801,1969
Review of Regional Studies,B,Southern Regional Science Association,1553-0892,0048-749X,3599,1970
Review of Social Economy,B,Taylor & Francis Online,0034-6764,1470-1162,3801,1942
Review of the Economic Research on Copyright Issues,B,Society for Economic Research on Copyright Issues,1698-1359,1698-1367,4801,2004
Review of Urban & Regional Development Studies,B,Wiley-Blackwell Publishing,0917-0553,1467-940X,3801,1989
Review of World Economics,B,Springer International Publishing,1610-2878,1610-2886,3801,1913
Review on Economic Cycles,B,The International Association of Economic Cycles,1578-8091,,3801,2000
Revista de Economia,B,Universidade Federal do Parana,0556-5782,2316-9397,3803,1960
Revista Portuguesa de Marketing,B,IPAM Lab,0873-2949,,3506,1995
Revue d'Etudes Comparatives Est-Ouest: economies et techniques de planification - droit et sciences sociales,B,Centre national de la recherche scientifique,0338-0599,2259-6100,3801,1970
Revue de l'OFCE,B,CAIRN International,1265-9576,1777-5647,3801,1982
Richmond Journal of Global Law and Business,B,University of Richmond,1933-7000,,4801,1998
Rikkyo Economic Review,B,Economic Society of Rikkyo University,0035-5356,,3801,1938
Risk Management,B,Springer International Publishing,1460-3799,1743-4637,3507,1999
Risk Management and Insurance Review,B,Wiley-Blackwell Publishing,1098-1616,1540-6296,3502,1997
"Risk, Decision and Policy",B,Taylor & Francis Online,1357-5309,,3599,1996
Risks,B,MDPI,2227-9091,,3502,2013
Romanian Economic Business Review,B,Romanian-American University,1842-2497,2344-4843,3899,2006
Romanian Journal of Economic Forecasting,B,Institute for Economic Forecasting (IEF),1582-6163,2537-6071,3802,2000
Rutgers Business Law Review,B,Rutgers University,1937-0563,1937-0571,4801,2006
Rutgers Business Review,B,Rutgers Business School,2474-2376,2474-6509,3507,2016
Rutgers Computer and Technology Law Journal,B,Rutgers Law School,0735-8938,,4801,1970
Safety Science,B,Elsevier,0925-7535,,3505,1991
Scandinavian Actuarial Journal,B,Taylor & Francis Online,0346-1238,1651-2030,3502,1918
Scandinavian Economic History Review,B,Taylor & Francis Online,0358-5522,1750-2837,3801,1900
Scandinavian Journal of Economics,B,Wiley-Blackwell Publishing,0347-0520,1467-9442,3801,1899
Scandinavian Journal of Hospitality and Tourism,B,Taylor & Francis Online,1502-2250,1502-2269,3508,2001
Scandinavian Journal of Information Systems,B,University of Aalborg,0905-0167,,4609,1989
Scandinavian Journal of Management,B,Elsevier,0956-5221,1873-3387,3507,1984
Scandinavian Journal of Statistics,B,Wiley-Blackwell Publishing,,1467-9469,4905,1974
Science & Society,B,"S&S Quarterly, Inc.",0036-8237,,3801,1936
Science and Public Policy,B,Oxford University Press,0302-3427,1471-5430,3599,1974
Science Communication,B,Sage Publications,1075-5470,1552-8545,3599,1994
"Science, Technology and Society",B,Sage Publications,0971-7218,0973-0796,4609,1996
"Science, Technology, & Human Values",B,Sage Publications,0162-2439,1552-8251,3503,1976
Scientometrics,B,Springer International Publishing,0138-9130,1588-2861,3599,1979
Scottish Journal of Political Economy,B,Wiley-Blackwell Publishing,0036-9292,1467-9485,3801,1954
Security Dialogue,B,Sage Publications,0967-0106,1460-3640,3599,1970
Security Studies,B,Taylor & Francis Online,0963-6412,1556-1852,3599,1991
Selection and Development Review,B,British Psychological Society,0963-2638,0963-2638,3505,1984
Seoul Journal of Business,B,Seoul National University,1226-9816,1226-9816,3507,1995
SERIEs: Journal of the Spanish Economic Association,B,Springer International Publishing,1869-4187,1869-4195,3801,2010
Service Business,B,Springer International Publishing,1862-8516,1862-8508,3506,2007
Service Industries Journal,B,Taylor & Francis Online,0264-2069,1743-9507,3506,1983
Service Science,B,INFORMS,2164-3970,,3507,2006
Services Marketing Quarterly,B,Taylor & Francis Online,1533-2969,1533-2977,3506,2001
Sex Roles,B,Springer International Publishing,0360-0025,1573-2762,3507,1975
SIAM Journal on Applied Mathematics,B,SIAM Publications Online,0036-1399,1095-712X,3502,1953
SIAM Journal on Computing,B,SIAM Publications Online,0097-5397,1095-7111,4609,1972
SIAM Journal on Financial Mathematics,B,Society for Industrial and Applied Mathematics,,1945-497X,3502,2010
Singapore Academy of Law Journal,B,Singapore Academy of Law,0218-2009,,4801,1989
Singapore Economic Review,B,World Scientific Publishing,0217-5908,1793-6837,3801,1956
Singapore Journal of Legal Studies,B,National University of Singapore,0218-2173,,4801,1959
Small Business Economics,B,Springer International Publishing,0921-898X,1573-0913,3507,1989
Small Enterprise Research,B,Taylor & Francis Online,1321-5906,1175-0979,3507,1992
Small Group Research,B,Sage Publications,1046-4964,1552-8278,3507,1969
Smart and Sustainable Built Environment,B,Emerald Group Publishing Ltd,2046-6099,2046-6102,3504,2012
Soccer & Society,B,Taylor & Francis Online,1466-0970,1743-9590,3504,2000
Social and Economic Studies,B,"Sir Arthur Lewis Institute of Social and Economic Studies, The University of the West Indies",0037-7651,,3801,1953
Social and Environmental Accountability Journal,B,Taylor & Francis Online,0969-160X,2156-2245,3501,1982
Social Business: An Interdisiplinary Journal,B,Westburn Publishers Ltd,2044-4087,2044-9860,3599,2011
Social Choice and Welfare,B,Springer International Publishing,0176-1714,1432-217X,3801,1984
Social Enterprise Journal,B,Emerald Group Publishing,1750-8614,1750-8533,3507,2005
Social Forces,B,Oxford University Press,0037-7732,1534-7605,3507,1925
Social Indicators Research,B,Springer International Publishing,0303-8300,1573-0921,3599,1974
Social Justice Research,B,Springer International Publishing,0885-7466,1573-6725,3599,1987
Social Marketing Quarterly,B,Sage Publications,1524-5004,1539-4093,3506,1993
Social Policy & Administration,B,Wiley-Blackwell Publishing,0144-5596,1467-9515,3599,1967
Social Problems,B,Oxford University Press,0037-7791,1533-8533,3507,1953
Social Psychological and Personality Science,B,Sage Publications,1948-5506,1948-5514,3507,2010
Social Responsibility Journal,B,Emerald Group Publishing,1747-1117,1758-857X,3501,2005
Social Science Information,B,Sage Publications,0539-0184,1461-7412,3507,1961
Social Science Japan Journal,B,Oxford University Press,1369-1465,1468-2680,3599,1998
Social Science Quarterly,B,Wiley-Blackwell Publishing,0038-4941,1540-6237,3599,1920
Social Service Review,B,The University of Chicago Press,0037-7961,1537-5404,3507,1927
Society and Business Review,B,Emerald Group Publishing,1746-5680,1746-5699,3507,2006
Society and Economy in Central and Eastern Europe,B,Akademiai Kiado,1588-9726,1588-970X,3801,1979
SocioEconomic Challenges,B,Sumy State University,2520-6621,2520-6214,3801,2017
Socio-Economic Planning Sciences,B,Elsevier,0038-0121,1873-6041,3899,1967
Socio-Economic Review,B,Oxford University Press,1475-1461,1475-147X,3801,2003
Sociological Inquiry,B,Wiley-Blackwell Publishing,,1475-682X,3507,1930
Sociological Methodology,B,Sage Publications,0081-1750,1467-9531,3507,1969
Sociological Methods & Research,B,Sage Publications,0049-1241,1552-8294,3507,1972
Sociological Theory,B,American Sociological Association,0735-2751,1467-9558,3507,1983
Sociologie du Travail,B,Elsevier,0038-0296,1777-5701,3505,1959
Sociology,B,Sage Publications,0038-0385,1469-8684,3507,1967
Sociology of Sport Journal,B,"Human Kinetics Publishers, Inc.",0741-1235,1543-2785,3504,1984
South African Journal of Accounting Research,B,Routledge,1029-1954,,3501,1987
South African Journal of Business Management,B,African Online Scientific Information Systems,2078-5585,,3507,1969
South African Journal of Economic and Management Sciences,B,AOSIS,1015-8812,2222-3436,3801,1988
South African Journal of Economics,B,Wiley-Blackwell Publishing,0038-2280,1813-6982,3801,1925
South African Statistical Journal,B,South African Statiscal Association,0038-271X,,3502,1967
South Asia Economic Journal,B,Sage Publications,1391-5614,0973-077X,3801,2000
South Asian Journal of Business Studies,B,Emerald Group Publishing,2398-628X,2398-6298,3507,2012
South Asian Journal of Human Resources Management,B,Sage Publications,2322-0937,2349-5790,3505,2014
South Asian Journal of Macroeconomics and Public Finance,B,Sage Publications,2277-9787,2321-0273,3801,2012
South Asian Journal of Management,B,Association of Management Development Institutions in South Asia (AMDISA),0971-5428,,3507,1994
South Carolina Journal of International Law and Business,B,University of South Carolina,1936-4334,,4801,2006
Southern Business and Economic Journal,B,Auburn Montgomery College of Business,0735-2476,,3801,1977
Southern Economic Journal,B,Wiley-Blackwell Publishing,0038-4038,2325-8012,3801,1933
Spanish Accounting Review / Revista de Contabilidad,B,ASEPUC (Associacion Espanola de Profesores Universitarios de Contabilidad),1138-4891,,3501,1997
Spanish Economic Review,B,Springer International Publishing,1435-5469,1435-5477,3801,1971
Spanish Journal of Finance and Accounting,B,Taylor & Francis Online,0210-2412,2332-0753,3501,2001
Spanish Journal of Marketing – ESIC,B,Emerald Group Publishing,2444-9709,2444-9709,3506,1916
Spanish Review of Financial Economics,B,AEFIN,2173-1268,,3502,
Spatial Economic Analysis,B,Taylor & Francis Online,1742-1772,1742-1780,3801,2006
Sport in Society,B,Taylor & Francis Online,1743-0437,1743-0445,3504,1998
Sport Management Education Journal,B,"Human Kinetics Publishers, Inc.",1938-6974,2163-2367,3504,
Sport Management Review,B,Elsevier,1441-3523,1839-2083,3504,1998
Sport Marketing Quarterly,B,"Fitness Information Technology, Inc.",1061-6934,1557-2528,3506,1992
Sport Psychologist,B,"Human Kinetics Publishers, Inc.",0888-4781,1543-2793,3504,1987
"Sport, Business and Management",B,Emerald Group Publishing Limited,2042-678X,2042-6798,3504,2011
"Sport, Education and Society",B,Taylor & Francis Online,1357-3322,1470-1243,3504,1996
Sporting Traditions,B,Australian Society for Sports History Publications,0813-2577,,3504,1984
Sri Lanka Economic Journal,B,"Sri Lanka Economic Association (SLEA), Colombo",1391-5894,,3801,1986
Sri Lankan Journal of Agricultural Economics,B,Sri Lanka Agricultural Economics Association,1391-7358,,3801,1993
Stanford Journal of International Law,B,Stanford University Press,0731-5082,,4801,1966
"Stanford Journal of Law, Business and Finance",B,Stanford University Press,1078-8794,,4801,1994
Stanford Social Innovation Review,B,Stanford Center on Philanthropy and Civil Society,1542-7009,,3507,2003
Statistica Neerlandica,B,Wiley-Blackwell Publishing,0039-0402,1467-9574,4905,1946
Statistica Sinica,B,Statistica Sinica,1017-0405,,4905,1991
Statistical Inference for Stochastic Processes,B,Springer International Publishing,1387-0874,1572-9311,4905,1998
Statistical Journal of the International Association for Official Statistics,B,IOS Press,1874-7655,1875-9254,4905,1984
Statistical Methodology,B,Elsevier,1572-3127,,4905,2004
Statistical Methods and Applications,B,Springer International Publishing,1618-2510,1613-981X,4905,1992
Statistical Methods In Medical Research,B,Sage Publications,0962-2802,1477-0334,4905,1992
Statistical Modelling,B,Sage Publications,1471-082X,1477-0342,4905,2001
Statistical Papers,B,Springer International Publishing,0932-5026,1613-9798,4905,1960
Statistical Science,B,Institute of Mathematical Statistics,0883-4237,,4905,1986
Statistics & Risk Modeling,B,De Gruyter,2196-7040,,4905,1982
Statistics and Computing,B,Springer International Publishing,0960-3174,1573-1375,4905,1991
Statistics & Probability Letters,B,Elsevier,0167-7152,1879-2103,4905,1982
Statistics Education Research Journal,B,International Association for Statistical Education,1570-1824,,4905,2002
Statistics in Medicine,B,Wiley-Blackwell Publishing,0277-6715,1097-0258,4905,1982
Statistics,B,Taylor & Francis Online,0233-1888,1029-4910,4905,1985
Statute Law Review,B,Oxford University Press,0144-3593,1464-3863,4801,1980
Stochastic Analysis and Applications,B,Taylor & Francis Online,0736-2994,1532-9356,4905,1983
Stochastic Environmental Research and Risk Assessment,B,Springer International Publishing,1436-3240,1436-3259,4905,1987
Stochastic Models,B,Taylor & Francis Online,1532-6349,1532-4214,4905,2001
Stochastic Processes and their Applications,B,Elsevier,0304-4149,1879-209X,4905,1973
Stochastics: an international journal of probability and stochastic processes,B,Taylor & Francis Online,1744-2508,1744-2516,4905,1973
Strategic Change: Briefings in Entrepreurial Finance,B,Wiley-Blackwell Publishing,1099-1697,,3502,1992
Strategic Entrepreneurship Journal,B,Wiley-Blackwell Publishing,1932-4391,1932-443X,3507,2007
Strategic Management Journal,B,Wiley-Blackwell Publishing,0143-2095,1097-0266,3507,1980
Strategic Organization,B,Sage Publications,1476-1270,1741-315X,3507,2003
Strategy & Leadership,B,Emerald Group Publishing,1087-8572,1758-9568,3507,1996
Strategy Science,B,INFORMS,2333-2050,2333-2077,3507,2003
Stress and Health,B,Wiley-Blackwell Publishing,1532-3005,1532-2998,3507,1985
Structural Change and Economic Dynamics,B,Elsevier,0954-349X,1873-6017,3801,1990
Structural Equation Modelling: A Multidisciplinary Journal,B,Taylor & Francis Online,1070-5511,1532-8007,3507,1994
Studi Economici e Sociali: rivista di vita economica,B,Centro Studi G. Toniolo,0391-8750,,3801,1966
Studies in Agricultural Economics,B,Research Institute of Agricultural Economics and the Hungarian Academy of Sciences,1418-2106,2063-0476,3899,1962
Studies in Business and Economics,B,Sciendo,1842-4120,2344-5416,3801,2006
Studies in Comparative International Development,B,Springer International Publishing,0039-3606,1936-6167,3599,1965
Studies in Economics and Finance,B,Emerald Group Publishing,1086-7376,1755-6791,3801,1977
Studies in Higher Education,B,Taylor & Francis Online,0307-5079,1470-174X,3505,1976
Studies in Microeconomics,B,Sage Publications,2321-0222,2321-8398,3803,2013
Studies in Nonlinear Dynamics & Econometrics,B,De Gruyter,1081-1826,1558-3708,3802,1996
Studies in Political Economy: a socialist review,B,Taylor & Francis Online,0707-8552,,3801,1979
Suffolk University Law Review,B,Suffolk University Law School,0039-4696,,4801,1967
Supply Chain Management Review,B,Peerless Media,1521-9747,,3509,2000
Supply Chain Management: an international journal,B,Emerald Group Publishing,1359-8546,1758-6852,3509,1996
Survival,B,Taylor & Francis Online,0039-6338,1468-2699,3599,1959
"Sustainability Accounting, Management and Policy Journal",B,,2040-8021,,3501,2010
Sustainable Development,B,Wiley-Blackwell Publishing,,1099-1719,3899,1993
Swedish Economic Policy Review,B,The Economic Council of Sweden,1400-1829,,3801,1989
Syracuse Journal of International Law and Commerce,B,Syracuse University,0093-0709,,4801,1972
System Dynamics Review,B,Wiley-Blackwell Publishing,,1099-1727,3503,1975
Systemic Practice and Action Research,B,Springer International Publishing,1094-429X,1573-9295,3503,1988
Systems Research and Behavioral Science,B,Wiley-Blackwell Publishing,1092-7026,1099-1743,3503,1984
Tarsadalom es Gazdasag,B,Akademiai Kiado,1588-9734,1589-021X,3801,1994
Tax Law Review,B,New York University School of Law,0040-0041,,4801,1945
Tax Notes,B,"Tax Analysts and Advocates, Washington, D.C.",2688-6642,,4801,1972
Tax Policy Journal,B,"Tax & Super Australia, Taxpayers Research Foundation",1833-1726,,4801,2005
Tax Specialist,B,Tax Institute,1329-1203,,4801,1997
Taxation in Australia,B,Tax Institute,0494-8343,,4801,1963
Teaching Business and Economics,B,Economics and Business Education Association,1367-3289,,3801,1949
Team Performance Management,B,Emerald Group Publishing,1352-7592,1758-6860,3507,1995
Technological Forecasting and Social Change,B,Elsevier,0040-1625,1873-5509,3503,1969
Technology Analysis and Strategic Management,B,Taylor & Francis Online,0953-7325,1465-3990,3507,1989
Technology in Society,B,Elsevier,0160-791X,1879-3274,4609,1979
Technology Innovation Management Review,B,Talent First Network (Carleton University),,1927-0321,3503,2007
Technometrics,B,American Statistical Association,0040-1706,1537-2723,3503,1959
Technovation,B,Elsevier,0166-4972,1879-2383,3507,1981
Telematics and Informatics,B,Elsevier,0736-5853,1879-324X,4609,1984
Teoros: revue de recherche en tourisme,B,"ESG UQAM, Belgrade",0712-8657,,3508,1982
Texas International Law Journal,B,University of Texas School of Law,0163-7479,,4801,1965
The Accounting Review,B,American Accounting Association,0001-4826,1558-7967,3501,1926
The Adam Smith Review,B,The International Adam Smith Society,1743-5285,,3899,2004
The American Economic Review,B,American Economic Association,0002-8282,0065-812X,3801,1911
The American Sociologist,B,Springer International Publishing,0003-1232,1936-4784,3599,1969
The American Statistician (AMSTAT),B,Taylor & Francis Online,0003-1305,1537-2731,4905,
"The Annals of Regional Science: international journal of urban, regional and environmental research and policy",B,Springer International Publishing,0570-1864,1432-0592,3801,1967
The Australian Economic Review,B,Wiley-Blackwell Publishing,0004-9018,1467-8462,3801,1968
The Australian Journal of Agricultural and Resource Economics,B,Wiley-Blackwell Publishing,1364-985X,1467-8489,3801,1997
The Baltic Journal of Road and Bridge Engineering,B,Vilnius Gediminas Technical University,1822-427X,1822-4288,3509,2006
The BE Journal of Economic Analysis and Policy,B,De Gruyter,1935-1682,1555-0494,3803,2001
The BE Journal of Macroeconomics,B,De Gruyter,1935-1690,,3803,2007
The BE Journal of Theoretical Economics,B,De Gruyter,1935-1704,,3803,2001
"The Brooklyn Journal of Corporate, Financial and Commercial Law",B,Brooklyn Law School,1934-2497,,4801,2006
The Business Lawyer,B,American Bar Association,0007-6899,,4801,1946
The China Review: an interdisciplinary journal on greater China,B,Chinese University of Hong Kong Press,1680-2012,1015-6607,3599,1990
The Chinese Economy: translation and studies,B,Taylor & Francis Online,1097-1475,1558-0954,3801,1967
The Computer Journal,B,Oxford University Press,0010-4620,1460-2067,4609,
The Consortium Journal of Hospitality and Tourism,B,Tuskegee University,1535-0568,,3508,2005
The Corporate Governance Law Review,B,Corporate Research Group,1449-9029,,4801,2005
The Economic and Labour Relations Review,B,Sage Publications,1035-3046,,3801,1990
The Economic History Review: a journal of economic and social history,B,Wiley-Blackwell Publishing,0013-0117,1468-0289,3801,1927
The Economic Journal,B,Wiley-Blackwell Publishing,0013-0133,1468-0297,3801,1891
The Economic Record,B,Wiley-Blackwell Publishing,0013-0249,1475-4932,3801,1925
The Economics of Transition,B,Wiley-Blackwell Publishing,0967-0750,1468-0351,3801,1993
The Electronic Journal of Statistics,B,The Institute of Mathematical Statistics and the Bernoulli Society,1935-7524,,4905,
The Electronic Library,B,Emerald Group Publishing Limited,0264-0473,1768-616X,4609,
The European Accounting Review,B,Taylor & Francis Online,0963-8180,1468-4497,3501,1992
The European Journal of Finance,B,Taylor & Francis Online,1351-847X,1466-4364,3502,1995
The Florida Tax Review,B,University of Florida Press,1066-3487,,4801,1992
The Geneva Papers on Risk and Insurance - Issues and Practice,B,Springer International Publishing,1018-5895,1468-0440,3502,1973
The Geneva Risk and Insurance Review,B,Springer International Publishing,1554-964X,1554-9658,3502,1976
The Independent Review: a journal of political economy,B,Independent Institute,1086-1653,,3801,1996
The Indonesian Journal of Accounting Research,B,Indonesian Institute of Accountants -Compartment of Accounting Educators,2086-6887,2655-1748,3501,1997
