Journal Title,Rating,Publisher,ISSN,ISSN Online,FoR,Year Inception
Asian Journal of Tourism and Hospitality Research,B,Phillippine e-Journals,1908-8388,,3508,2007
Asian Population Studies,B,Taylor & Francis Online,1744-1730,1744-1749,3599,2005
Asian Review of Accounting,B,Emerald Group Publishing,1321-7348,1758-8863,3501,1992
Asian Survey,B,University of California Press,0004-4687,1533-838X,3599,2011
Asian-Pacific Economic Literature,B,Wiley-Blackwell Publishing,0818-9935,1467-8411,3801,1987
Aslib Proceedings: New information perspectives,B,Emerald Group Publishing,2050-3806,2050-3814,4609,1949
ASOR Bulletin,B,Australian Society for Operations Reseach Inc.,0812-860X,1446-6678,3509,1981
Asper Review of International Business and Trade Law,B,"University of Manitoba, Faculty of Law",1496-9572,,4801,2001
AStA Advances in Statistical Analysis,B,Springer Nature,1863-8171,1863-818X,4905,1916
ASTIN Bulletin,B,Cambridge University Press,0515-0361,1783-1350,3502,1960
ATA Journal of Legal Tax Research,B,American Accounting Association,1543-866X,,4801,2003
Atlantic Economic Journal,B,Springer International Publishing,0197-4254,1573-9678,3801,1973
Auckland University Law Review,B,Auckland University Law Students' Society,0067-0510,,4801,1967
Audit Financiar,B,Chamber of Financial Auditors in Romania,1583-5812,1844-8801,3501,2003
Auditing: A Journal of Practice and Theory,B,American Accounting Association,0278-0380,1558-7991,3501,1981
Australasian Accounting Business and Finance Journal,B,University of Canberra,1834-2000,1834-2019,3501,2007
Australasian Agribusiness Review,B,The University of Melbourne,1442-6951,,3599,1993
Australasian Dispute Resolution Journal,B,Thomson Reuters,1441-7847,1441-7847,4801,1990
Australasian Journal of Business and Behavioural Sciences,B,Australasian Business and Behavioural Sciences Association,1832-0422,,3501,2005
Australasian Journal of Economics Education,B,University of Queensland,1448-448X,1448-4498,3801,2004
Australasian Journal of Environmental Management,B,Taylor & Francis Online,1448-6563,2159-5356,3507,2003
